60,60,70,53,70,68.388,47,4.4557
59,59,70,53,70,67.731,46,4.4185
57,57,70,54,70,67.074,45,4.344
56,56,65,51,70,67.074,45,4.3067
58,58,65,51,70,70.77,50.625,4.3812
58,58,65,51,70,70.77,50.625,4.3812
56,56,65,51,70,69.568,48.797,4.3067
55,55,65,51,70,68.968,47.883,4.2695
55,55,65,51,70,68.968,47.883,4.2695
55,55,65,51,70,68.968,47.883,4.2695
55,55,65,51,70,68.968,47.883,4.2695
54,54,65,51,70,68.367,46.969,4.2322
57,57,65,51,70,70.169,49.711,4.344
60,60,65,51,70,71.971,52.454,4.4557
62,62,64,51,70,48,54.282,4.5302
63,63,65,51,70,43,55.196,4.5675
67,67,65,51,70,32,58.853,4.7165
69,69,65,51,70,31,60.681,4.791
69,69,68,51,70,30,60.681,4.791
70,70,68,51,20.227,29,61.595,4.8282
70,70,68,51,21.035,30,61.595,4.8282
69,69,68,51,23.457,33,60.681,4.791
68,68,68,51,25.88,36,59.767,4.7537
68,68,68,51,25.88,36,59.767,4.7537
68,68,68,51,25.88,36,59.767,4.7537
66,66,68,51,29.11,40,57.939,4.6792
66,66,68,51,32.34,44,57.939,4.6792
61,61,68,51,53.624,70.359,50,4.493
61,61,68,51,54.154,71.016,51,4.493
NaN,NaN,69,51,50.972,67.074,45,NaN
52,52,64,48,73.522,95,50,5
52,52,64,48,73.522,95,50,5
52,52,66,48,52.563,69.045,48,4.1577
54,54,66,48,53.624,70.359,50,4.2322
54,54,65,48,53.624,70.359,50,4.2322
54,54,64,48,0,69.702,49,4.2322
53,53,64,49,0,69.045,48,4.195
52,52,69,48,0,69.045,48,4.1577
53,53,69,48,0,69.045,48,4.195
53,53,69,48,0,69.045,48,4.195
52.135,51,69,48,0,89,48,4.1205
52.135,51,69,48,0,89,48,4.1205
52.135,51,69,48,0,90,48,4.1205
52.135,51,69,48,0,89,48,4.1205
54,54,69,48,53.094,69.702,49,4.2322
57,57,69,48,53.094,69.702,49,4.344
58,58,68,48,0,68.388,47,4.3812
60,60,66,47,0,68.388,47,4.4557
60,60,66,47,0,67.731,46,4.4557
62,62,66,47,0,68.388,47,4.5302
64,64,66,47,0,50,45,4.6047
64,64,66,47,36.377,49,56.11,4.6047
64,64,66,47,33.955,46,56.11,4.6047
66,66,66,47,31.532,43,57.939,4.6792
64,64,66,47,37.992,51,46,4.6047
61,61,66,47,50.972,67.074,45,4.493
61,61,66,47,55.411,72.571,53.368,4.493
61,61,66,47,52.033,68.388,47,4.493
60,60,66,47,52.033,68.388,47,4.4557
59,59,66,47,51.502,67.731,46,4.4185
58,58,66,47,52.033,68.388,47,4.3812
58,58,66,47,52.033,68.388,47,4.3812
56,56,66,47,53.094,69.702,49,4.3067
55,55,66,47,51.502,67.731,46,4.2695
53,53,66,47,50.972,67.074,45,4.195
52,52,71,47,50.972,67.074,45,4.1577
52,52,71,47,50.972,67.074,45,4.1577
52,52,71,47,51.046,67.166,45.14,4.1577
52,52,71,47,51.046,67.166,45.14,4.1577
52.135,51,71,47,50.561,66.566,44.226,4.1205
NaN,NaN,71,47,NaN,NaN,NaN,NaN
NaN,NaN,71,47,NaN,NaN,NaN,NaN
NaN,NaN,71,47,NaN,NaN,NaN,NaN
54,54,71,47,52.016,68.367,46.969,4.2322
58,58,71,47,37.992,51,50.625,4.3812
60,60,70,47,33.147,45,52.454,4.4557
60,60,69,48,30.725,42,52.454,4.4557
62,62,69,48,29.11,40,54.282,4.5302
63,63,69,48,25.88,36,55.196,4.5675
65,65,68,48,0,34,57.025,4.642
65,65,68,48,0,34,57.025,4.642
65,65,68,48,24.265,34,57.025,4.642
66,66,68,48,23.457,33,57.939,4.6792
67,67,68,48,22.65,32,58.853,4.7165
67,67,68,48,22.65,32,58.853,4.7165
65,65,68,48,25.88,36,57.025,4.642
65,65,68,48,27.495,38,57.025,4.642
61,61,68,48,32.34,44,53.368,4.493
60,60,68,48,37.992,51,52.454,4.4557
57,57,68,48,53.471,70.169,49.711,4.344
56,56,68,48,52.563,69.045,48,4.3067
55,55,68,48,52.563,69.045,48,4.2695
56,56,68,48,52.986,69.568,48.797,4.3067
55,55,68,48,52.501,68.968,47.883,4.2695
52.135,51,68,48,50.561,66.566,44.226,4.1205
52,52,68,48,51.046,67.166,45.14,4.1577
52.135,51,68,48,50.561,66.566,44.226,4.1205
NaN,NaN,71,50,NaN,NaN,NaN,NaN
NaN,NaN,71,50,NaN,NaN,NaN,NaN
52.135,51,71,50,50.561,66.566,44.226,4.1205
NaN,NaN,71,50,NaN,NaN,NaN,NaN
NaN,NaN,71,50,NaN,NaN,NaN,NaN
NaN,NaN,71,50,NaN,NaN,NaN,NaN
NaN,NaN,71,50,NaN,NaN,NaN,NaN
NaN,NaN,71,50,NaN,NaN,NaN,NaN
NaN,NaN,71,50,NaN,NaN,NaN,NaN
54,54,71,50,52.016,68.367,46.969,4.2322
56,56,71,50,52.986,69.568,48.797,4.3067
59,59,71,50,54.441,71.37,51.539,4.4185
63,63,69,50,29.917,41,55.196,4.5675
64,64,69,50,29.11,40,56.11,4.6047
65,65,69,50,28.302,39,57.025,4.642
65,65,68,50,26.687,37,57.025,4.642
66,66,68,50,25.88,36,57.939,4.6792
67,67,68,50,25.88,36,58.853,4.7165
66,66,68,50,27.495,38,57.939,4.6792
68,68,68,50,27.495,38,59.767,4.7537
67,67,68,50,27.495,38,58.853,4.7165
66,66,68,50,26.687,37,57.939,4.6792
64,64,68,50,29.11,40,56.11,4.6047
63,63,68,50,33.147,45,55.196,4.5675
58,58,68,50,52.563,69.045,48,4.3812
58,58,68,50,52.033,68.388,47,4.3812
57,57,68,50,52.033,68.388,47,4.344
56,56,68,50,52.986,69.568,48.797,4.3067
56,56,68,50,52.986,69.568,48.797,4.3067
55,55,68,50,52.501,68.968,47.883,4.2695
55,55,68,50,52.501,68.968,47.883,4.2695
53,53,68,51,50.972,67.074,45,4.195
53,53,71,51,51.531,67.767,46.054,4.195
52.135,51,71,51,50.561,66.566,44.226,4.1205
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
NaN,NaN,71,51,NaN,NaN,NaN,NaN
54,54,71,51,52.016,68.367,46.969,4.2322
